"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"ROTOCOIL AS 1862001 - Caterpillar","[""CA1862001"",""186-2001"",""1862001""]","Weight: 0.09 pounds 0 kg.","1862001  ROTOCOIL-AS-YM  3975055  CL","186-2001","[""ARTICULATED TRUCK "",""CHALLENGER "",""COLD PLANER "",""EJECTOR TRUCK "",""EXCAVATOR "",""FRONT SHOVEL "",""GEN SET ENGINE "",""GENERATOR SET "",""INDUSTRIAL ENGINE "",""LANDFILL COMPACTOR "",""LOAD HAUL DUMP "",""MARINE AUXILIARY "",""MARINE ENGINE "",""MOBILE HYD POWER UNIT "",""MOTOR GRADER "",""PETROLEUM ENGINE "",""PETROLEUM GEN SET "",""PETROLEUM PACKAGE "",""PETROLEUM TRANSMISSION "",""PIPELAYER "",""POWER MODULE "",""RECLAIMER MIXER "",""SOIL COMPACTOR "",""TRACK-TYPE TRACTOR "",""TRUCK "",""TRUCK ENGINE "",""UNDERGROUND ART TRUCK "",""WHEEL DOZER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL TRACTOR Caterpillar""]","[[""735"",""735B"",""740"",""740B"",""D350E II"",""D400E II""],[""MTC835""],[""PM-200"",""PM-201""],[""740"",""740B"",""D400E II""],[""365C"",""365C L"",""365C L MH"",""374D L"",""374F L"",""385B"",""385C"",""385C FS"",""385C L"",""385C L MH"",""390D"",""390D L"",""390F L""],[""385C"",""5090B""],[""3406E"",""3456""],[""3406E"",""3456"",""C15"",""C15 I6"",""C18"",""C18 I6"",""C27"",""C32""],[""3406E"",""3456"",""C-15"",""C-16"",""C15"",""C18"",""C27"",""C32""],[""826G II"",""826H"",""826K"",""836G"",""836H""],[""R2900"",""R2900G"",""R3000H""],[""C32""],[""3406E"",""C15"",""C18"",""C32""],[""365C L"",""385C"",""385C L""],[""24M""],[""C-15"",""C15"",""C18"",""C27"",""C32""],[""C15"",""C18"",""C27"",""C32""],[""CX31-C15I"",""CX31-C18I"",""CX35-C18I"",""TH35-C15I"",""TH35-C15T""],[""TH48-E70""],[""583T"",""587T"",""PL83"",""PL87""],[""C18"",""C32"",""PM3456""],[""RM-500""],[""825G II"",""825H"",""825K""],[""D10N"",""D10R"",""D10T"",""D10T2"",""D11R"",""D11T"",""D8R"",""D8R II"",""D8T"",""D9T""],[""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM"",""773F"",""773G"",""773G LRC"",""773G OEM"",""775F"",""775G"",""775G LRC"",""775G OEM"",""777C"",""777D"",""777F"",""777G""],[""3406E"",""C-15"",""C-16"",""C-18"",""C15"",""C16"",""C18""],[""AD30"",""AD45B"",""AD55"",""AD55B"",""AD60""],[""824C"",""824G"",""824G II"",""824H"",""824K"",""834G"",""834H"",""834K"",""844H"",""844K"",""854K""],[""980G"",""980G II"",""980H"",""986H"",""988G"",""988H"",""988K"",""990H"",""990K"",""992K"",""993K""],[""631G"",""657B"",""657E"",""657G""],[""621B"",""621G"",""623G"",""627F"",""627G"",""631D"",""631E"",""631G"",""633E II"",""637D"",""637E"",""637G"",""651B"",""657E"",""657G""]]","[""/product/186-2001.png"",""/product/186-2001_2.png""]"
"RETAINER-G.E.T. 2209110 - Caterpillar","[""CA2209110"",""220-9110"",""2209110""]","Weight: 0.50 pounds 0 kg.",,"220-9110","[""EXCAVATOR "",""WHEEL LOADER Caterpillar""]","[[""322C"",""324D"",""324D L"",""324D LN"",""325C"",""325D"",""325D L"",""330C"",""330C L"",""330D L"",""330D LN"",""345B II"",""345C"",""345C L"",""345D L""],[""980G II"",""980H"",""980M"",""988G"",""988H""]]","[""/product/220-9110.png"",""/product/220-9110.png""]"
"SEAL-BRAKE 2204336 - Caterpillar","[""CA2204336"",""220-4336"",""2204336""]",,,"220-4336","[""INTEGRATED TOOLCARRIER "",""MOTOR GRADER "",""WHEEL LOADER Caterpillar""]","[[""IT38H""],[""120M"",""120M 2"",""12M"",""12M 2"",""140M"",""140M 2"",""14M"",""160M"",""160M 2"",""16M""],[""938H""]]","[""/product/220-4336.png"",""/product/220-4336.png""]"
"SEAL AS 2227007 - Caterpillar","[""CA2227007"",""222-7007"",""2227007""]","Weight: 0.07 pounds 0 kg.",,"222-7007","[""MINING EXCAVATOR "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""5130"",""5130B""],[""D11N"",""D11R"",""D11T""]]","[""/product/222-7007.png"",""/product/222-7007_1.png"",""/product/222-7007_2.png""]"
"SEAL-D-RING 1437560 - Caterpillar","[""CA1437560"",""143-7560"",""1437560""]","Weight: 0.010 pounds 0 kg.","BORE DIAMETER  0  mm","143-7560","[""LOAD HAUL DUMP Caterpillar""]","[[""R1600"",""R1600G""]]","[""/product/143-7560.png"",""/product/143-7560.png""]"
"SEAL-RECTANGULAR 1P3703 - Caterpillar","[""CA1P3703"",""1P-3703"",""1P3703""]","Weight: 0.01 pounds 0 kg.","AXIAL WIDTH  4.95  mm","1P-3703","[""ARTICULATED TRUCK "",""ASPHALT PAVER "",""BACKHOE LOADER "",""CHALLENGER "",""COLD PLANER "",""COMPACT TRACK LOADER "",""COMPACT WHEEL LOADER "",""EJECTOR TRUCK "",""EXCAVATOR "",""FELLING HEAD "",""FORWARDER "",""FRONT SHOVEL "",""INDUSTRIAL TRACTOR "",""INTEGRATED TOOLCARRIER "",""KNUCKLEBOOM LOADER "",""LOAD HAUL DUMP "",""LOGGER "",""MINI HYD EXCAVATOR "",""MINING EXCAVATOR "",""MULTI TERRAIN LOADER "",""PETROLEUM PACKAGE "",""PIPELAYER "",""PNEUMATIC COMPACTOR "",""RECLAIMER MIXER "",""RIPPER "",""ROAD RECLAIMER "",""SHOVEL LOGGER "",""SITE PREP TRACTOR "",""SKID STEER LOADER "",""STABILIZER MIXER "",""TRACK FELLER BUNCHER "",""TRACK LOADER "",""TRACK-TYPE TRACTOR "",""TRUCK "",""VIBRATORY COMPACTOR "",""WHEEL FELLER BUNCHER "",""WHEEL HARVESTER "",""WHEEL LOADER "",""WHEEL SCRAPER "",""WHEEL SKIDDER "",""WHEEL TRACTOR "",""WHEEL TRACTOR-SCRAPER "",""WHEELED EXCAVATOR "",""WINCH Caterpillar""]","[[""725"",""730"",""735B"",""740B""],[""AP-1000"",""AP-1055D"",""AP-1055E"",""AP-555E"",""AP-600D"",""AP-655C"",""AP-655D"",""AP-800C"",""AP-800D"",""BG-225B"",""BG-2455D"",""BG-260D"",""BG1055E"",""BG500E"",""BG600D"",""BG655D""],[""416"",""416C"",""416D"",""420D"",""424D"",""426"",""426C"",""428C"",""428D"",""430D"",""432D"",""436"",""436C"",""438C"",""438D"",""442D"",""446"",""446B"",""446D""],[""35"",""45"",""55"",""65"",""65C"",""65E"",""70C"",""75"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""],[""PM-201"",""PM-465""],[""279C"",""289C"",""299C""],[""902"",""906"",""906H"",""906H2"",""907H"",""907H2"",""908"",""908H"",""908H2"",""910G"",""910K"",""914G"",""914K""],[""740B""],[""215"",""215B"",""215C"",""215D"",""219D"",""225"",""225D"",""229"",""229D"",""231D"",""235"",""235B"",""235C"",""235D"",""245"",""245B"",""245D"",""307"",""311"",""311B"",""311C"",""311D LRR"",""311F LRR"",""312"",""312B"",""312B L"",""312C"",""312C L"",""312D"",""312D L"",""312D2"",""312D2 GC"",""312E"",""312E L"",""313B"",""313D2"",""313D2 LGP"",""314C"",""314D CR"",""314D LCR"",""314E CR"",""314E LCR"",""315"",""315B"",""315B L"",""315C"",""315D L"",""316E L"",""317"",""317B LN"",""318B"",""318C"",""318D L"",""318D2 L"",""318E L"",""319C"",""319D"",""319D L"",""319D LN"",""320B"",""320B FM LL"",""320C"",""320C FM"",""320C L"",""320D"",""320D FM"",""320D FM RR"",""320D GC"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320E L"",""320E LN"",""320E LRR"",""321C"",""321D LCR"",""322B L"",""322B LN"",""322C"",""322C FM"",""323D L"",""323D LN"",""323D SA"",""324D"",""324D FM"",""324D FM LL"",""324D L"",""324D LN"",""324E L"",""324E LN"",""568 FM LL""],[""HF181"",""HF201"",""HF221""],[""554"",""564"",""574"",""574B""],[""5080"",""5090B""],[""HA771"",""HA871"",""TK371"",""TK381""],[""IT14G"",""IT14G2"",""IT18"",""IT18B"",""IT18F"",""IT24F"",""IT28"",""IT28B"",""IT28F"",""IT28G"",""IT38F"",""IT38G"",""IT38G II"",""IT38H"",""IT62G"",""IT62G II"",""IT62H""],[""2384C"",""2484C"",""539"",""559C"",""579C""],[""R1300"",""R1300G"",""R1300G II""],[""322C""],[""307"",""307B"",""307C""],[""5110B"",""5130"",""5130B"",""5230B""],[""267B"",""277C"",""287C"",""297C""],[""CX35-P800"",""TH35-C15I""],[""572R"",""572R II"",""583R"",""589"",""PL61"",""PL87""],[""CW-34"",""PS-360C""],[""RM-250C"",""RM-300"",""RM-350B"",""RM-500""],[""8D"",""977""],[""RM-350B"",""RR-250B""],[""345C""],[""2864C"",""586C""],[""246C"",""256C"",""262C"",""268B"",""272C""],[""SM-350""],[""1090"",""1190"",""1190T"",""1290T"",""1390"",""2290"",""2390"",""2391"",""2491"",""2590"",""511"",""521"",""521B"",""522"",""522B"",""532"",""541"",""541 2"",""551"",""552"",""552 2"",""TK1051"",""TK711"",""TK721"",""TK722"",""TK732"",""TK741"",""TK751"",""TK752""],[""933C"",""939C"",""941"",""943"",""951B"",""953"",""953B"",""953C"",""953D"",""955K"",""955L"",""963"",""963B"",""963C"",""963D"",""973"",""973C"",""973D"",""977K"",""977L"",""983""],[""30/30"",""D3B"",""D3C III"",""D3G"",""D3K XL"",""D3K2 LGP"",""D4C III"",""D4D"",""D4E"",""D4G"",""D4K XL"",""D4K2 XL"",""D5B"",""D5C III"",""D5E"",""D5G"",""D5H"",""D5H XL"",""D5K LGP"",""D5K2 XL"",""D5R LGP"",""D6D"",""D6E"",""D6E SR"",""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6K"",""D6K LGP"",""D6K XL"",""D6K2"",""D6K2 LGP"",""D6N"",""D6N LGP"",""D6N OEM"",""D6R"",""D6R II"",""D6R III"",""D6R STD"",""D6T"",""D6T LGP"",""D6T LGPPAT"",""D6T XL"",""D7H"",""D8K"",""D8N"",""D9H"",""DEUCE""],[""770"",""772"",""773G"",""773G LRC"",""773G OEM"",""775G"",""775G LRC"",""775G OEM"",""777G"",""785D"",""793"",""793B"",""793D"",""797"",""797B""],[""CB-534D"",""CB-544"",""CB-545"",""CD-54"",""CP-68B"",""CP-74B"",""CS-531C"",""CS-533C"",""CS-563C"",""CS-56B"",""CS-573C"",""CS-583C"",""CS-66B"",""CS-68B"",""CS-74B"",""CS-76B"",""CS-78B""],[""533"",""543"",""HA770"",""HA870"",""TK370"",""TK380""],[""550"",""550B"",""560B"",""570"",""570B"",""580"",""580B""],[""916"",""918F"",""920"",""924F"",""924G"",""924GZ"",""924H"",""924HZ"",""924K"",""926"",""926A"",""928F"",""928G"",""928H"",""928HZ"",""930"",""930G"",""930K"",""930R"",""936"",""936F"",""938F"",""938G"",""938G II"",""938H"",""938K"",""950 GC"",""950B"",""950B/950E"",""950F"",""950F II"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966C"",""966D"",""966F"",""966F II"",""966H"",""966K"",""966M"",""966M XE"",""966R"",""972H"",""972K"",""972M"",""972M XE"",""980B"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""980M"",""982M"",""986H"",""988"",""988B"",""988F"",""988F II"",""988G"",""988H"",""988K"",""990"",""990 II"",""990H"",""990K"",""992"",""992C"",""992G"",""992K"",""993K"",""994"",""994D"",""994F"",""994H"",""G926"",""G936""],[""615"",""621B"",""621E"",""621G"",""623B"",""623E"",""623F"",""623G"",""627B"",""627E"",""627G"",""631G"",""633D"",""633E"",""637G"",""657B"",""657E"",""657G""],[""525C"",""530B"",""535C"",""545C""],[""621"",""621B"",""621E"",""621F"",""621G"",""621H"",""621R"",""623"",""623B"",""623G"",""623H"",""627B"",""627E"",""627F"",""627G"",""627H"",""631D"",""633D"",""637D"",""641"",""641B"",""657B""],[""613G"",""621K"",""623K"",""623K LRC"",""627K"",""627K LRC""],[""M312"",""M313C"",""M313D"",""M315"",""M315C"",""M315D"",""M315D2"",""M316C"",""M316D"",""M317D2"",""M318"",""M318C"",""M318C MH"",""M318D"",""M318D MH"",""M320"",""M322C"",""M322D"",""M322D MH""],[""54""]]","[""/product/1P-3703.png"",""/product/1P-3703.png""]"
"MOUNT AS 2358862 - Caterpillar","[""CA2358862"",""235-8862"",""2358862""]","Weight: 7 pounds 3 kg.",,"235-8862","[""EXCAVATOR "",""FRONT SHOVEL "",""KNUCKLEBOOM LOADER "",""MATERIAL HANDLER "",""MOBILE HYD POWER UNIT "",""SHOVEL LOGGER "",""WHEELED EXCAVATOR Caterpillar""]","[[""311D LRR"",""311F LRR"",""312D"",""312D L"",""312D2"",""312D2 GC"",""312D2 L"",""313D"",""313D2"",""313D2 LGP"",""315D L"",""318D L"",""318D2 L"",""319D"",""319D L"",""320D"",""320D FM"",""320D FM RR"",""320D GC"",""320D L"",""320D LN"",""320D LRR"",""320D RR"",""320D2"",""320D2 GC"",""320D2 L"",""321D LCR"",""323D L"",""323D LN"",""323D2 L"",""324D"",""324D L"",""324D LN"",""325D"",""325D L"",""325D MH"",""326D L"",""328D LCR"",""329D"",""329D L"",""330D"",""330D L"",""330D LN"",""330D MH"",""336D"",""336D L"",""336D2"",""336D2 L"",""340D L"",""340D2 L"",""345C"",""345C L"",""345C MH"",""345D"",""345D L"",""349D"",""349D L"",""365C"",""365C L"",""365C L MH"",""374D L"",""385C"",""385C FS"",""385C L"",""385C L MH"",""390D"",""390D L""],[""385C""],[""2384C"",""2484C"",""559C"",""579C""],[""MH3037""],[""323D L"",""323D LN"",""324D LN"",""325D"",""329D L"",""330D"",""330D L"",""336D L"",""345C L"",""349D L"",""365C L"",""385C"",""385C L""],[""345C""],[""W345C MH""]]","[""/product/235-8862.png"",""/product/235-8862.png""]"
"MOUNT AS 2388564 - Caterpillar","[""CA2388564"",""238-8564"",""2388564""]","Weight: 0.56 pounds 0 kg.",,"238-8564","[""TRACK LOADER Caterpillar""]","[[""953C"",""963C""]]","[""/product/238-8564.png"",""/product/238-8564_1.png""]"
"LOCKWASHER-BEARING 1T0242 - Caterpillar","[""CA1T0242"",""1T-0242"",""1T0242""]","Weight: 0.25 pounds 0 kg.",,"1T0242","[""PIPELAYER "",""TRACK-TYPE TRACTOR Caterpillar""]","[[""589""],[""D10"",""D10N"",""D10R"",""D10T"",""D10T2"",""D11N"",""D11R"",""D11T"",""D8H"",""D8K"",""D8L"",""D9H"",""D9L"",""D9T""]]","[""/product/1T0242.png"",""/product/1T0242.png""]"
"FINAL DRIVE AND WHEEL GROUP 1V4851 - Caterpillar","[""CA1V4851"",""1V-4851"",""1V4851""]","Weight: 0.80 pounds 0 kg.",,"1V4851","[""WHEEL LOADER Caterpillar""]","[[""950""]]","[""/product/1V4851.png"",""/product/1V4851.png""]"
