"name","code","netweight","relatedPart","partnumber","compatibledescription"
,"[""CA5P1260"",""5P-1260"",""5P1260""]","Weight: 0.01 pounds 0 kg.","ID  57.15  mm","5P1260","[{""parca"":"""",""list"":[""D250B"",""D25C"",""D300B"",""D30C"",""D350C"",""D35C""]},{""parca"":"""",""list"":[""85C"",""85D""]},{""parca"":"""",""list"":[""225"",""235"",""235B"",""235C"",""235D"",""245B"",""330 L"",""330B"",""350""]},{""parca"":"""",""list"":[""G3304"",""G3306""]},{""parca"":"""",""list"":[""3304"",""3304B"",""3306""]},{""parca"":"""",""list"":[""C18"",""C27"",""C9""]},{""parca"":"""",""list"":[""3176B"",""3176C"",""3196"",""3304"",""3306"",""3306B"",""C-10"",""C-12""]},{""parca"":"""",""list"":[""IT28"",""IT28B""]},{""parca"":"""",""list"":[""3304"",""3306"",""3406E"",""C12"",""C15"",""C18"",""C9""]},{""parca"":"""",""list"":[""120B"",""120G"",""130G"",""140B""]},{""parca"":"""",""list"":[""941"",""943"",""953"",""963""]},{""parca"":"""",""list"":[""D4D"",""D4E"",""D5B"",""D5H"",""D6C"",""D6D"",""D7G"",""D7H""]},{""parca"":"""",""list"":[""776"",""784C""]},{""parca"":"""",""list"":[""777"",""777B"",""785"",""785C"",""785D""]},{""parca"":"""",""list"":[""1673C"",""3306""]},{""parca"":"""",""list"":[""854G""]},{""parca"":"""",""list"":[""916"",""926"",""950"",""950B"",""966G"",""992G""]},{""parca"":"""",""list"":[""637D""]},{""parca"":"""",""list"":[""627B""]}]"
,"[""CA5P1261"",""5P-1261"",""5P1261""]","Weight: 0.03 pounds 0 kg.","ID  60.32  mm","5P1261","[{""parca"":""GEN SET ENGINE "",""list"":[""3406B"",""3406C""]},{""parca"":""GENERATOR SET "",""list"":[]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3406B"",""3406C""]},{""parca"":""MARINE ENGINE "",""list"":[""3406B"",""3406C"",""D343""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""993K"",""994D"",""994F"",""994H""]}]"
,"[""CA5P1262"",""5P-1262"",""5P1262""]","Weight: 0.03 pounds 0 kg.","ID  63.5  mm","5P1262","[{""parca"":"""",""list"":[""D25C"",""D25D"",""D30C"",""D350C"",""D35C""]},{""parca"":"""",""list"":[""65"",""65C"",""65E"",""75E"",""85E"",""95E""]},{""parca"":"""",""list"":[""PM-200"",""PM-465"",""PM-565"",""PM-565B"",""PR-450C""]},{""parca"":"""",""list"":[""3304""]},{""parca"":"""",""list"":[""235"",""235C"",""245"",""245B"",""245D""]},{""parca"":"""",""list"":[""G3304"",""G3304B"",""G3306"",""G3306B"",""G3408"",""G3412"",""G399""]},{""parca"":"""",""list"":[""3304"",""3304B"",""3306"",""3306B"",""3406B"",""3406C"",""3408"",""3412"",""3412C"",""3456"",""D379B""]},{""parca"":"""",""list"":[""3304B"",""3306B"",""3406C"",""3406E"",""3412"",""3412C"",""3456"",""3516B"",""C18"",""C9"",""G3306"",""G3406"",""G3412""]},{""parca"":"""",""list"":[""3116"",""3304"",""3306"",""3306B"",""3406B"",""3408"",""3408C"",""3408E"",""3412"",""3412C"",""3412E"",""C-15"",""C-16"",""C-9"",""C13"",""C15"",""C18"",""C9.3""]},{""parca"":"""",""list"":[""IT62H""]},{""parca"":"""",""list"":[""816B"",""816F"",""816F II"",""826C"",""826G"",""826G II"",""826H"",""836G""]},{""parca"":"""",""list"":[""R1300"",""R1600"",""R1600G"",""R1700G"",""R2900"",""R2900G"",""R3000H""]},{""parca"":"""",""list"":[""C32""]},{""parca"":"""",""list"":[""3304"",""3304B"",""3306"",""3306B"",""3408B"",""C-12"",""C12"",""C18"",""C30"",""C32""]},{""parca"":"""",""list"":[""307C""]},{""parca"":"""",""list"":[""5110B""]},{""parca"":"""",""list"":[""120B"",""120G"",""120H"",""12G"",""12H"",""12H ES"",""12H NA"",""12M"",""12M 2"",""130G"",""135H"",""140B"",""140G"",""140H"",""140H ES"",""140H NA"",""140M"",""140M 2"",""143H"",""14G"",""14H"",""14H NA"",""14M"",""160G"",""160H"",""160H ES"",""160H NA"",""160M"",""160M 2"",""163H"",""163H NA"",""16G"",""16H"",""16H NA"",""16M""]},{""parca"":"""",""list"":[""C15"",""C18"",""C32""]},{""parca"":"""",""list"":[""CX31-C13I"",""CX31-C15I"",""CX35-P800"",""TH35-C15I""]},{""parca"":"""",""list"":[""TH31-E61"",""TH35-E81"",""TH55-E70""]},{""parca"":"""",""list"":[""561C"",""561D"",""572G"",""572R"",""578"",""583R"",""583T"",""587R"",""587T"",""589"",""PL83"",""PL87""]},{""parca"":"""",""list"":[""C18"",""PM3412"",""PM3456""]},{""parca"":"""",""list"":[""HT400""]},{""parca"":"""",""list"":[""771D"",""775B"",""775D""]},{""parca"":"""",""list"":[""RM-250C"",""RM-300"",""RM-350B"",""RM-500""]},{""parca"":"""",""list"":[""RM-350B"",""RR-250"",""RR-250B""]},{""parca"":"""",""list"":[""815"",""815B"",""815F"",""815F II"",""825G"",""825G II"",""825H""]},{""parca"":"""",""list"":[""SS-250""]},{""parca"":"""",""list"":[""SM-350""]},{""parca"":"""",""list"":[""941"",""951B"",""955K"",""955L"",""963"",""963B"",""963C"",""973"",""973C"",""977K"",""977L""]},{""parca"":"""",""list"":[""527"",""D5HTSK II""]},{""parca"":"""",""list"":[""D10N"",""D10R"",""D11N"",""D11R"",""D4D"",""D4E"",""D4E SR"",""D5"",""D5B"",""D5E"",""D5H"",""D6C"",""D6D"",""D6D SR"",""D6E"",""D6E SR"",""D6F SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL"",""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6R"",""D6T LGP"",""D6T XL"",""D7E"",""D7E LGP"",""D7F"",""D7G"",""D7H"",""D7R"",""D8L"",""D8N"",""D8R"",""D8R II"",""D8T"",""D9H"",""D9L"",""D9N"",""D9R"",""D9T""]},{""parca"":"""",""list"":[""772B"",""784B""]},{""parca"":"""",""list"":[""69D"",""769C"",""769D"",""773B"",""773D"",""773E"",""775D"",""775E"",""777"",""785"",""785B"",""785C"",""789"",""789B"",""789C"",""793"",""793B"",""793C"",""793D"",""793F"",""793F AC"",""793F CMD"",""793F OEM"",""793F XQ"",""797B""]},{""parca"":"""",""list"":[""AD30"",""AD40"",""AD45"",""AD55"",""AE40"",""AE40 II""]},{""parca"":"""",""list"":[""D346"",""D348""]},{""parca"":"""",""list"":[""CS-643""]},{""parca"":"""",""list"":[""814"",""814B"",""814F"",""814F II"",""824C"",""824G"",""824G II"",""824H"",""834G"",""844""]},{""parca"":"""",""list"":[""920"",""930"",""930R"",""936"",""936F"",""950"",""950B"",""950B/950E"",""950H"",""962H"",""966C"",""966D"",""966F"",""966F II"",""966G"",""966G II"",""966H"",""966R"",""970F"",""972G"",""972G II"",""972H"",""980B"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""988"",""988B"",""988F"",""988G"",""990"",""990 II"",""992"",""994"",""994D"",""994F"",""994H"",""G936""]},{""parca"":"""",""list"":[""621E"",""623E"",""623F"",""627B"",""627E"",""627G"",""637B"",""637D"",""637E"",""637G"",""657B"",""657E"",""657G""]},{""parca"":"""",""list"":[""528"",""528B"",""530B""]},{""parca"":"""",""list"":[""621B"",""621E"",""621F"",""621G"",""621R"",""623E"",""623G"",""627B"",""627E"",""627F"",""627G"",""631D"",""631E"",""631G"",""633E II"",""637E"",""637G"",""641B"",""651E"",""657E"",""657G""]},{""parca"":"""",""list"":[""627K LRC""]}]"
,"[""CA5P1263"",""5P-1263"",""5P1263""]","Weight: 0.01 pounds 0 kg.","ID  69.85  mm","5P1263","[{""parca"":"""",""list"":[""215"",""225"",""235""]},{""parca"":"""",""list"":[""3304"",""3304B"",""3306"",""3406""]},{""parca"":"""",""list"":[""3304"",""3306"",""3406""]},{""parca"":"""",""list"":[""3304"",""3304B"",""3406E""]},{""parca"":"""",""list"":[""120B"",""120G"",""130G"",""140B"",""140G"",""14M"",""160G""]},{""parca"":"""",""list"":[""561D"",""571G"",""572G"",""594H""]},{""parca"":"""",""list"":[""771D""]},{""parca"":"""",""list"":[""815"",""815B""]},{""parca"":"""",""list"":[""941"",""951B"",""955K"",""955L"",""977K"",""977L""]},{""parca"":"""",""list"":[""D3B"",""D4D"",""D4E"",""D4E SR"",""D5"",""D5B"",""D5E"",""D6C"",""D6D"",""D6D SR"",""D6E"",""D6E SR"",""D6F SR"",""D6G"",""D6G SR"",""D6R"",""D7F"",""D7G"",""D7G2"",""D7H"",""D8K""]},{""parca"":"""",""list"":[""772B"",""776"",""776C"",""776D""]},{""parca"":"""",""list"":[""769D"",""773B"",""777"",""777B"",""777D"",""789"",""789B"",""789C""]},{""parca"":"""",""list"":[""814"",""814B""]},{""parca"":"""",""list"":[""920"",""930"",""930R"",""950"",""950F"",""966C"",""966D"",""966R""]},{""parca"":"""",""list"":[""528"",""528B"",""530B""]},{""parca"":"""",""list"":[""627B""]}]"
,"[""CA5P1265"",""5P-1265"",""5P1265""]","Weight: 0.05 pounds 0 kg.","ID  76.2  mm","5P1265","[{""parca"":"""",""list"":[""65""]},{""parca"":"""",""list"":[""PM-465"",""PR-1000"",""PR-750B""]},{""parca"":"""",""list"":[""224"",""245"",""245B"",""245D""]},{""parca"":"""",""list"":[""G3304"",""G3306"",""G3306B""]},{""parca"":"""",""list"":[""3208"",""3306"",""3306B"",""3406"",""3406B"",""3406C""]},{""parca"":"""",""list"":[""3406E"",""3456"",""C18"",""C32"",""C9"",""G3306"",""G3406""]},{""parca"":"""",""list"":[""3304"",""3306"",""3406"",""3406B"",""D343""]},{""parca"":"""",""list"":[""826C"",""826G"",""826G II"",""826H"",""826K"",""836G"",""836H"",""836K""]},{""parca"":"""",""list"":[""R2900"",""R2900G""]},{""parca"":"""",""list"":[""C32""]},{""parca"":"""",""list"":[""C12"",""C18"",""C32"",""C9""]},{""parca"":"""",""list"":[""5130"",""5130B"",""5230B""]},{""parca"":"""",""list"":[""120G"",""12G"",""130G"",""140G"",""14G"",""14M"",""160G"",""16G"",""16H NA""]},{""parca"":"""",""list"":[""578"",""583R"",""587R""]},{""parca"":"""",""list"":[""PM3456""]},{""parca"":"""",""list"":[""HT400""]},{""parca"":"""",""list"":[""771C"",""771D"",""775D""]},{""parca"":"""",""list"":[""RM-350B""]},{""parca"":"""",""list"":[""825G"",""825G II"",""825H""]},{""parca"":"""",""list"":[""SM-350""]},{""parca"":"""",""list"":[""977L""]},{""parca"":"""",""list"":[""D11N"",""D11R"",""D6C"",""D7F"",""D8L"",""D8N"",""D8R"",""D8R II"",""D8T"",""D9N"",""D9R"",""D9T""]},{""parca"":"""",""list"":[""768C"",""772"",""776"",""776D"",""784B""]},{""parca"":"""",""list"":[""69D"",""769"",""769C"",""769D"",""770"",""772"",""772G"",""773D"",""777"",""777B"",""777C"",""777D"",""785"",""785B"",""785C"",""789"",""789B"",""789C"",""793"",""793B"",""793C"",""793D"",""793F"",""793F AC"",""793F CMD"",""793F OEM"",""793F XQ"",""797"",""797B""]},{""parca"":"""",""list"":[""AD30"",""AD40"",""AD45"",""AD55"",""AE40"",""AE40 II""]},{""parca"":"""",""list"":[""D348""]},{""parca"":"""",""list"":[""814"",""824C"",""824G"",""824G II"",""824H"",""834G"",""834H"",""834K""]},{""parca"":"""",""list"":[""950"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""988G"",""988H"",""988K""]},{""parca"":"""",""list"":[""615C"",""623E"",""623F"",""627B"",""627E"",""637B"",""637D"",""657B""]},{""parca"":"""",""list"":[""611"",""615"",""621B"",""621E"",""621F"",""621G"",""623E"",""623G"",""627"",""627B"",""627E"",""627F"",""627G"",""631C"",""631G"",""633C"",""637G"",""641B"",""651B""]}]"
,"[""CA5P1266"",""5P-1266"",""5P1266""]","Weight: 0.01 pounds 0 kg.","ID  82.55  mm","5P1266","[{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""623B"",""631E"",""631G"",""633E II"",""637D"",""637E"",""637G""]}]"
,"[""CA5P1267"",""5P-1267"",""5P1267""]","Weight: 0.01 pounds 0 kg.","ID  95.25  mm","5P1267","[{""parca"":""TRUCK "",""list"":[""777""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""641B"",""657G""]}]"
,"[""CA5P1268"",""5P-1268"",""5P1268""]","Weight: 0.07 pounds 0 kg.","ID  101.6  mm","5P1268","[{""parca"":"""",""list"":[""G3406"",""G3408"",""G3408C"",""G3412"",""G343"",""G379"",""G398"",""G399""]},{""parca"":"""",""list"":[""3306"",""3408"",""3412"",""3412C"",""G3412C""]},{""parca"":"""",""list"":[""3408C"",""3412"",""3412C"",""3508"",""3508B"",""3512"",""3512B"",""3516"",""3516B"",""G3412""]},{""parca"":"""",""list"":[""3408"",""3408C"",""3408E"",""3412"",""3412C"",""3412E""]},{""parca"":"""",""list"":[""3408C"",""3412C""]},{""parca"":"""",""list"":[""5110B"",""5130"",""5130B"",""5230B""]},{""parca"":"""",""list"":[""120M"",""120M 2"",""12M"",""12M 2"",""140M"",""140M 2"",""160M"",""160M 2"",""24H""]},{""parca"":"""",""list"":[""TH48-E70""]},{""parca"":"""",""list"":[""589""]},{""parca"":"""",""list"":[""PM3412""]},{""parca"":"""",""list"":[""775B"",""775D""]},{""parca"":"""",""list"":[""RM-500""]},{""parca"":"""",""list"":[""D10"",""D10N"",""D10R"",""D10T"",""D4D"",""D4E"",""D5"",""D5B"",""D5E"",""D8L"",""D9L"",""D9N"",""D9R""]},{""parca"":"""",""list"":[""772B"",""776"",""776C"",""776D"",""784C""]},{""parca"":"""",""list"":[""773B"",""773D"",""773E"",""773F"",""775D"",""775E"",""775F"",""777"",""777B"",""777D"",""785"",""785C"",""785D"",""789"",""789B"",""789C"",""793"",""793B"",""795F AC""]},{""parca"":"""",""list"":[""D348""]},{""parca"":"""",""list"":[""844""]},{""parca"":"""",""list"":[""920"",""930"",""988B"",""988F"",""990"",""990 II""]},{""parca"":"""",""list"":[""633D"",""641B"",""651E"",""657E""]}]"
,"[""CA5P1269"",""5P-1269"",""5P1269""]","Weight: 0.07 pounds 0 kg.","ID  114.3  mm","5P1269","[{""parca"":"""",""list"":[""5130"",""5130B"",""5230"",""5230B""]},{""parca"":"""",""list"":[""776C"",""776D""]},{""parca"":"""",""list"":[""777"",""777D"",""785C"",""785D""]},{""parca"":"""",""list"":[""988B"",""994D"",""994F""]},{""parca"":"""",""list"":[""633D"",""639D"",""641B"",""651E"",""657B"",""657E""]}]"
,"[""CA5P1270"",""5P-1270"",""5P1270""]","Weight: 0.07 pounds 0 kg.","ID  127  mm","5P1270","[{""parca"":""GEN SET ENGINE "",""list"":[""3306"",""3306B""]},{""parca"":""GENERATOR SET "",""list"":[""3508"",""3508B"",""3512"",""3512B"",""3516"",""3516B""]},{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3306"",""D349""]},{""parca"":""PIPELAYER "",""list"":[""572R"",""572R II""]},{""parca"":""RECLAIMER MIXER "",""list"":[""RM-350B""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10"",""D11N"",""D11R"",""D7H"",""D7R"",""D7R II""]},{""parca"":""TRACTOR "",""list"":[""776""]},{""parca"":""TRUCK "",""list"":[""777""]},{""parca"":""WHEEL SCRAPER "",""list"":[""615C"",""621E"",""623E"",""623F"",""627E"",""627G"",""637D"",""637E"",""637G""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""611"",""615"",""621E"",""621F"",""621G"",""623G"",""627E"",""627F"",""627G"",""631E"",""631G"",""633E II"",""637E"",""637G""]}]"
,"[""CA5P1291"",""5P-1291"",""5P1291""]","Weight: 0.03 pounds 0 kg.","ID  38.1  mm","5P1291","[{""parca"":"""",""list"":[""D250B"",""D250D"",""D25D"",""D300B"",""D300D""]},{""parca"":"""",""list"":[""65"",""65C"",""65E"",""70C"",""75C"",""75D"",""75E"",""85C"",""85D"",""85E"",""95E""]},{""parca"":"""",""list"":[""902"",""906"",""908""]},{""parca"":"""",""list"":[""215"",""235B"",""235C"",""235D"",""320C"",""320D FM RR""]},{""parca"":"""",""list"":[""IT12"",""IT38G II"",""IT62G"",""IT62G II"",""IT62H""]},{""parca"":"""",""list"":[""816"",""826C"",""826G"",""826G II"",""826H"",""836G"",""836H""]},{""parca"":"""",""list"":[""R1600G"",""R1600H"",""R1700G"",""R2900"",""R2900G"",""R3000H""]},{""parca"":"""",""list"":[""3512C""]},{""parca"":"""",""list"":[""3516C""]},{""parca"":"""",""list"":[""3508C"",""3512C"",""3516C""]},{""parca"":"""",""list"":[""302.5""]},{""parca"":"""",""list"":[""120H"",""12H"",""135H"",""140H"",""143H"",""14H"",""160H"",""163H"",""163H NA"",""16H""]},{""parca"":"""",""list"":[""3516C""]},{""parca"":"""",""list"":[""825G"",""825G II"",""825H""]},{""parca"":"""",""list"":[""521B"",""522B"",""TK1051""]},{""parca"":"""",""list"":[""953B""]},{""parca"":"""",""list"":[""D4HTSK II"",""D4HTSK III""]},{""parca"":"""",""list"":[""D11T"",""D3"",""D4H"",""D4H XL"",""D5"",""D5B"",""D6C"",""D6D"",""D6E"",""D6E SR"",""D6F SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL"",""D6H"",""D6H II"",""D6H XL"",""D6H XR"",""D6R"",""D6R II"",""D8T""]},{""parca"":"""",""list"":[""776C""]},{""parca"":"""",""list"":[""770"",""770G"",""770G OEM"",""772"",""772G"",""773G"",""773G LRC"",""773G OEM"",""775G"",""775G LRC"",""775G OEM"",""777C"",""777D"",""777F"",""777G""]},{""parca"":"""",""list"":[""3116""]},{""parca"":"""",""list"":[""AD45B"",""AD55"",""AD55B"",""AD60""]},{""parca"":"""",""list"":[""814"",""814B"",""824C"",""824G"",""824G II"",""824H"",""834"",""834G"",""834H"",""844H""]},{""parca"":"""",""list"":[""920"",""930"",""930R"",""938G II"",""950"",""950B"",""950F"",""950F II"",""950G"",""950G II"",""950H"",""950K"",""960F"",""962G"",""962G II"",""962H"",""962K"",""966C"",""966D"",""966F"",""966F II"",""966H"",""966K"",""970F"",""972H"",""972K"",""980B"",""980C"",""980F"",""980F II"",""980G"",""980G II"",""980H"",""980K"",""980K HLG"",""986H"",""988"",""988F"",""988F II"",""988G"",""988H"",""990H"",""992""]},{""parca"":"""",""list"":[""623E"",""623F"",""627E""]},{""parca"":"""",""list"":[""515"",""525""]},{""parca"":"""",""list"":[""613B"",""613C"",""613C II"",""621B"",""621E"",""621F"",""621G"",""623E"",""623G"",""627B"",""627E"",""627F"",""627G"",""637D""]},{""parca"":"""",""list"":[""613G""]}]"
,"[""CA5P1292"",""5P-1292"",""5P1292""]","Weight: 0.04 pounds 0 kg.","ID  44.45  mm","5P1292","[{""parca"":""EXCAVATOR "",""list"":[""225""]},{""parca"":""GENERATOR SET "",""list"":[""C27""]},{""parca"":""HYDRAULIC CONTROL "",""list"":[""140"",""141"",""153"",""163""]},{""parca"":""PETROLEUM GEN SET "",""list"":[""C27""]},{""parca"":""TRACK LOADER "",""list"":[""953D""]},{""parca"":""TRACK SKIDDER "",""list"":[""517"",""527"",""D5HTSK II""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D4E"",""D4E SR"",""D5B"",""D5E"",""D5H"",""D5H XL"",""D6D"",""D6E SR"",""D6H"",""D6H XL"",""D6M"",""D7F"",""D8H"",""D9G""]},{""parca"":""TRUCK "",""list"":[""770"",""772"",""773G"",""773G LRC"",""773G OEM"",""775G"",""775G LRC"",""775G OEM"",""777G""]},{""parca"":""WHEEL DOZER "",""list"":[""834""]},{""parca"":""WHEEL LOADER "",""list"":[""988"",""988B"",""992""]},{""parca"":""WHEEL SCRAPER "",""list"":[""627B"",""627E"",""627G"",""637D"",""637E"",""637G""]},{""parca"":""WHEEL SKIDDER "",""list"":[""518"",""518C"",""528""]},{""parca"":""WHEEL TRACTOR "",""list"":[""627E"",""627F"",""627H""]},{""parca"":""WHEEL TRACTOR-SCRAPER Caterpillar"",""list"":[""627K"",""627K LRC""]}]"
,"[""CA5P1293"",""5P-1293"",""5P1293""]","Weight: 0.03 pounds 0 kg.","ID  50.8  mm","5P1293","[{""parca"":"""",""list"":[""735"",""735B"",""740"",""740B"",""D350E"",""D400E"",""D400E II""]},{""parca"":"""",""list"":[""910""]},{""parca"":"""",""list"":[""740"",""740B"",""D400E II""]},{""parca"":"""",""list"":[""322 FM L"",""325 L""]},{""parca"":"""",""list"":[""3508"",""3508B"",""3512"",""3512B"",""3516"",""3516B"",""D379B""]},{""parca"":"""",""list"":[""3508B"",""3508C"",""3512"",""3512B"",""3516"",""C27""]},{""parca"":"""",""list"":[""3412"",""3412C"",""D398""]},{""parca"":"""",""list"":[""IT28"",""IT62G"",""IT62G II"",""IT62H""]},{""parca"":"""",""list"":[""2384C"",""2484C"",""559C"",""579C""]},{""parca"":"""",""list"":[""826G"",""826G II"",""826H""]},{""parca"":"""",""list"":[""R1300G II""]},{""parca"":"""",""list"":[""3508B""]},{""parca"":"""",""list"":[""3512B"",""3516B""]},{""parca"":"""",""list"":[""5130"",""5130B""]},{""parca"":"""",""list"":[""120G"",""120H"",""120H ES"",""120H NA"",""12G"",""130G"",""135H"",""135H NA"",""14H"",""16H"",""16M""]},{""parca"":"""",""list"":[""CPT372""]},{""parca"":"""",""list"":[""771C"",""771D""]},{""parca"":"""",""list"":[""825G"",""825G II"",""825H""]},{""parca"":"""",""list"":[""521B"",""522B""]},{""parca"":"""",""list"":[""941""]},{""parca"":"""",""list"":[""D5N"",""D6E"",""D6F SR"",""D6G"",""D6G SR"",""D6G2 LGP"",""D6G2 XL"",""D6N"",""D8L"",""D9H"",""D9N"",""D9R""]},{""parca"":"""",""list"":[""768C""]},{""parca"":"""",""list"":[""769C"",""769D"",""770"",""770G"",""770G OEM"",""772"",""772G"",""772G OEM"",""773G"",""773G LRC"",""773G OEM"",""775G"",""775G LRC"",""775G OEM"",""777G"",""793C"",""793D"",""793F"",""793F AC"",""793F CMD"",""793F OEM"",""793F XQ"",""795F AC"",""795F XQ""]},{""parca"":"""",""list"":[""AD55B""]},{""parca"":"""",""list"":[""824G"",""824G II"",""824H""]},{""parca"":"""",""list"":[""926"",""950G"",""950G II"",""950H"",""950K"",""962G"",""962G II"",""962H"",""962K"",""966K"",""966M XE"",""972M XE"",""980G"",""980G II"",""980H"",""992"",""994"",""994D"",""994F"",""994H""]},{""parca"":"""",""list"":[""615C""]},{""parca"":"""",""list"":[""615"",""621H"",""623H"",""627H"",""631C"",""631E"",""631G"",""633E II"",""637D"",""637E"",""637G"",""639D""]},{""parca"":"""",""list"":[""621K"",""623K"",""623K LRC"",""627K"",""627K LRC""]}]"
,"[""CA5P1296"",""5P-1296"",""5P1296""]","Weight: 0.07 pounds 0 kg.","ID  88.9  mm","5P1296","[{""parca"":"""",""list"":[""229D"",""320C"",""320C FM"",""320C L"",""320D"",""322B L"",""323D L"",""323D LN""]},{""parca"":"""",""list"":[""G3406""]},{""parca"":"""",""list"":[""3406B"",""3406C""]},{""parca"":"""",""list"":[""G3406""]},{""parca"":"""",""list"":[""3406"",""3406B"",""3406C"",""3408""]},{""parca"":"""",""list"":[""IT62G"",""IT62G II""]},{""parca"":"""",""list"":[""826C""]},{""parca"":"""",""list"":[""3406B"",""3406C""]},{""parca"":"""",""list"":[""825C""]},{""parca"":"""",""list"":[""983B""]},{""parca"":"""",""list"":[""D5H"",""D9N""]},{""parca"":"""",""list"":[""785"",""797"",""797B"",""797F""]},{""parca"":"""",""list"":[""824C""]},{""parca"":"""",""list"":[""950G"",""950G II"",""962G"",""962G II"",""966C"",""966D"",""966F"",""966F II"",""966R"",""970F"",""980G"",""980G II"",""980H"",""988F"",""988F II"",""993K""]},{""parca"":"""",""list"":[""623E"",""623F"",""627E""]},{""parca"":"""",""list"":[""621E"",""621F"",""621G"",""623E"",""623G"",""627E"",""627F"",""627G"",""631E"",""631G"",""633D"",""633E II"",""637D"",""637E"",""637G""]}]"
,"[""CA5P1297"",""5P-1297"",""5P1297""]","Weight: 0.03 pounds 0 kg.",,"5P1297","[{""parca"":""INDUSTRIAL ENGINE "",""list"":[""D346"",""D348"",""D349"",""D353C"",""D379"",""D398"",""D399""]},{""parca"":""MARINE ENGINE "",""list"":[""D398A""]},{""parca"":""TRACK LOADER "",""list"":[""943""]},{""parca"":""TRUCK ENGINE "",""list"":[""1693""]},{""parca"":""VEHICULAR ENGINE "",""list"":[""D348"",""D349""]},{""parca"":""WHEEL SCRAPER Caterpillar"",""list"":[""657E""]}]"
,"[""CA5P1298"",""5P-1298"",""5P1298""]","Weight: 0.02 pounds 0 kg.",,"5P1298","[{""parca"":""MARINE TRANSMISSION "",""list"":[""7231"",""7271""]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D6H""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""920""]}]"
,"[""CA5P1299"",""5P-1299"",""5P1299""]","Weight: 0.01 pounds 0 kg.",,"5P1299","[{""parca"":""PIPELAYER "",""list"":[""571G""]},{""parca"":""TRACK LOADER "",""list"":[""953""]},{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D8N""]}]"
